[drift] isolated data dir: (selftest 合成语料，非真机)
[D40] arc=mansion_era (0.0s) 拉姆怎么看待罗兹瓦尔大人 -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D41] arc=mansion_era (0.0s) 蕾姆你觉得姐姐怎么样 -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D42] arc=mansion_era (0.0s) 我明天想去镇上 -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
[D43] arc=mansion_era (0.0s) 蕾姆会唱歌吗 -> 【蕾姆】: "无论如何我都会好好加油的，毕竟我喜欢这里的一切，你开心我也觉得幸福呢。"
[D44] arc=mansion_era (0.0s) 拉姆会做饭吗 -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D45] arc=mansion_era (0.0s) 你们喜欢什么样的天气 -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D46] arc=mansion_era (0.0s) 蕾姆你的名字有什么含义吗 -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
[D47] arc=mansion_era (0.0s) 拉姆你有想守护的东西吗 -> 【蕾姆】: "无论如何我都会好好加油的，毕竟我喜欢这里的一切，你开心我也觉得幸福呢。"
[D48] arc=mansion_era (0.0s) 蕾姆你觉得什么是幸福 -> 【蕾姆】: "其实我觉得你说得非常开心，毕竟无论怎样我都会一直喜欢这里的，总的来说这是一个美好的开始呢。"
[D49] arc=mansion_era (0.0s) 如果有一天我走了呢 -> 【蕾姆】: "或许你可以放心，我对此感到非常幸福，毕竟一般来说这样的安排都是很棒很温暖的哦。"
[D50] arc=mansion_era (0.0s) 不管怎样我都会回来的 -> 【蕾姆】: "我觉得非常开心哦。总的来说，其实我一直都在期待这样的美好时刻，你放心好了。"
